1,"execCode('10.10.10.13',someUser)","OR",0
2,"RULE 2 (remote exploit of a server program)","AND",0
3,"netAccess('10.10.10.13',tcp,'25')","OR",0
4,"RULE 5 (multi-hop access)","AND",0
5,"hacl('10.10.10.1','10.10.10.13',tcp,'25')","LEAF",1
6,"execCode('10.10.10.1',root)","OR",0
7,"RULE 1 (local exploit)","AND",0
8,"vulExists('10.10.10.1','CVE-2013-2207',glibc,localExploit,privEscalation)","LEAF",1
9,"execCode('10.10.10.1',someUser)","OR",0
10,"RULE 2 (remote exploit of a server program)","AND",0
11,"netAccess('10.10.10.1',tcp,'22')","OR",0
12,"RULE 7 (direct on-host access)","AND",0
13,"attackerLocated('10.10.10.1')","LEAF",1
14,"networkServiceInfo('10.10.10.1',openssh,tcp,'22',someUser)","LEAF",1
15,"vulExists('10.10.10.1','CVE-2008-5161',openssh,remoteExploit,privEscalation)","LEAF",1
16,"RULE 2 (remote exploit of a server program)","AND",0
17,"netAccess('10.10.10.1',tcp,'25')","OR",0
18,"RULE 7 (direct on-host access)","AND",0
19,"networkServiceInfo('10.10.10.1',safari,tcp,'25',someUser)","LEAF",1
20,"vulExists('10.10.10.1','CVE-2015-2808',safari,remoteExploit,privEscalation)","LEAF",1
21,"RULE 5 (multi-hop access)","AND",0
22,"RULE 5 (multi-hop access)","AND",0
23,"execCode('10.10.10.1',user)","OR",0
24,"RULE 0 (When a principal is compromised any machine he has an account on will also be compromised)","AND",0
25,"canAccessHost('10.10.10.1')","OR",0
26,"RULE 8 (Access a host through executing code on the machine)","AND",0
27,"RULE 8 (Access a host through executing code on the machine)","AND",0
28,"hasAccount('10.10.10.1_victim','10.10.10.1',user)","LEAF",1
29,"principalCompromised('10.10.10.1_victim')","OR",0
30,"RULE 11 (password sniffing)","AND",0
31,"RULE 6 (direct network access)","AND",0
32,"networkServiceInfo('10.10.10.13',openssl,tcp,'25',someUser)","LEAF",1
33,"vulExists('10.10.10.13','CVE-2016-0800',openssl,remoteExploit,privEscalation)","LEAF",1
34,"RULE 2 (remote exploit of a server program)","AND",0
35,"netAccess('10.10.10.13',tcp,'80')","OR",0
36,"RULE 5 (multi-hop access)","AND",0
37,"hacl('10.10.10.1','10.10.10.13',tcp,'80')","LEAF",1
38,"RULE 5 (multi-hop access)","AND",0
39,"RULE 5 (multi-hop access)","AND",0
40,"RULE 6 (direct network access)","AND",0
41,"networkServiceInfo('10.10.10.13',http_server,tcp,'80',someUser)","LEAF",1
42,"vulExists('10.10.10.13','CVE-2012-0053',http_server,remoteExploit,privEscalation)","LEAF",1
43,"RULE 2 (remote exploit of a server program)","AND",0
44,"networkServiceInfo('10.10.10.13',java_system_application_server,tcp,'80',someUser)","LEAF",1
45,"vulExists('10.10.10.13','CVE-2010-0386',java_system_application_server,remoteExploit,privEscalation)","LEAF",1
46,"RULE 2 (remote exploit of a server program)","AND",0
47,"netAccess('10.10.10.13',tcp,'8180')","OR",0
48,"RULE 5 (multi-hop access)","AND",0
49,"hacl('10.10.10.1','10.10.10.13',tcp,'8180')","LEAF",1
50,"RULE 5 (multi-hop access)","AND",0
51,"RULE 5 (multi-hop access)","AND",0
52,"RULE 6 (direct network access)","AND",0
53,"networkServiceInfo('10.10.10.13',tomcat,tcp,'8180',someUser)","LEAF",1
54,"vulExists('10.10.10.13','CVE-2009-3548',tomcat,remoteExploit,privEscalation)","LEAF",1
